Datetime,Open,High,Low,Close,Volume,DollarValue
2024-03-06 09:30:00-05:00,510.55,510.7813,510.35,510.49,1813340,925746316.8781
2024-03-06 09:31:00-05:00,510.47,510.77,510.45,510.66,385905,197029587.2672
2024-03-06 09:32:00-05:00,510.66,510.74,510.57,510.62,278665,142297495.4299
2024-03-06 09:33:00-05:00,510.62,510.8504,510.61,510.74,284348,145210834.5574
2024-03-06 09:34:00-05:00,510.74,510.7405,510.38,510.4,258004,131729100.2328
2024-03-06 09:35:00-05:00,510.4,510.51,510.17,510.31,370052,188857886.879
2024-03-06 09:36:00-05:00,510.29,510.4,510.02,510.02,334862,170831523.2012
2024-03-06 09:37:00-05:00,510.015,510.04,509.81,509.82,446986,227925988.5657
2024-03-06 09:38:00-05:00,509.83,509.98,509.71,509.76,218463,111371344.685
2024-03-06 09:39:00-05:00,509.76,509.95,509.71,509.93,182612,93103815.3629
2024-03-06 09:40:00-05:00,509.93,510.14,509.875,510.1187,186201,94967044.558
2024-03-06 09:41:00-05:00,510.11,510.19,510.0,510.02,149912,76464862.3585
2024-03-06 09:42:00-05:00,510.03,510.13,509.9289,510.06,162848,83059807.8618
2024-03-06 09:43:00-05:00,510.08,510.1801,509.99,510.08,126772,64663860.0577
2024-03-06 09:44:00-05:00,510.155,510.155,510.155,510.155,162345,82821113.2768
2024-03-06 09:45:00-05:00,510.15,510.36,510.15,510.19,204327,104241505.2159
2024-03-06 09:46:00-05:00,510.18,510.2301,509.91,510.0125,175943,89747864.9433
2024-03-06 09:47:00-05:00,509.9905,510.08,509.85,509.91,141693,72256381.6727
2024-03-06 09:48:00-05:00,509.9,510.02,509.8812,509.92,168818,86081986.9982
2024-03-06 09:49:00-05:00,509.93,510.065,509.9,510.01,122769,62608507.0799
2024-03-06 09:50:00-05:00,510.0,510.0,509.8,509.815,138292,70516128.1588
2024-03-06 09:51:00-05:00,509.8,509.97,509.735,509.885,159997,81573270.2772
2024-03-06 09:52:00-05:00,509.88,510.13,509.858,510.05,103049,52551382.9076
2024-03-06 09:53:00-05:00,510.05,510.1,509.8217,509.89,140466,71633446.1915
2024-03-06 09:54:00-05:00,509.89,510.03,509.89,509.99,92720,47281637.0264
2024-03-06 09:55:00-05:00,510.005,510.14,509.89,509.92,130298,66447095.0179
2024-03-06 09:56:00-05:00,509.9299,510.11,509.9299,510.03,106061,54088983.4718
2024-03-06 09:57:00-05:00,510.02,510.03,509.77,509.79,121078,61738277.4422
2024-03-06 09:58:00-05:00,509.78,509.82,509.65,509.725,135189,68912931.0526
2024-03-06 09:59:00-05:00,509.73,509.9531,509.63,509.91,127961,65237077.9572
2024-03-06 10:00:00-05:00,509.9,509.94,509.37,509.8338,285132,145379368.2416
2024-03-06 10:01:00-05:00,509.825,509.93,509.51,509.5499,126989,64724700.1244
2024-03-06 10:02:00-05:00,509.51,509.69,509.42,509.68,138499,70578398.0741
2024-03-06 10:03:00-05:00,509.67,509.725,509.28,509.3201,93032,47399344.064
